Company,ProductName,TypeName,ScreenResolution,Cpu,Memory,Gpu,OpSys,Ram,Weight,Inches,Price_euros
Dell,Inspiron 3552,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,2GB,2.20kg,15.6,379
Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,2.2kg,15.6,369
Lenovo,IdeaPad 100S-14IBR,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.5kg,14,229
Lenovo,IdeaPad 100S-14IBR,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.5kg,14,229
Lenovo,IdeaPad 100S-14IBR,Notebook,1366x768,Celeron Dual Core 3050 1.6GHz,64GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.5kg,14,229
Dell,Inspiron 3552,Notebook,1366x768,Celeron Dual Core 3060 1.60GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,1.8kg,15.6,309
Dell,Inspiron 3552,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,Linux,4GB,2.2kg,15.6,274.9
Lenovo,IdeaPad 100S-14IBR,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,4GB,1.43kg,14,274
Samsung,Chromebook 3,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.15kg,11.6,269
Dell,Chromebook 11,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.26kg,11.6,295
HP,Chromebook 11,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.23kg,11.6,385
Asus,Chromebook C202SA,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.2kg,11.6,287.9
Lenovo,Chromebook N23,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,16GB SSD,Intel HD Graphics 400,Chrome OS,4GB,1.25kg,11.6,265
Acer,TravelMate B,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,128GB SSD,Intel HD Graphics 400,Windows 10,4GB,1.4kg,11.6,435
HP,Stream 11-Y000na,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.17kg,11.6,209
HP,Stream 11-Y000na,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.17kg,11.6,209
HP,Stream 11-Y000na,Netbook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.17kg,11.6,209
Acer,Chromebook 14,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,2GB,1.68kg,14,330
Acer,Chromebook 14,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.68kg,14,349
Acer,Aspire ES1-531,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,Linux,4GB,2.4kg,15.6,289
Acer,Aspire ES1-531,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,Linux,4GB,2.4kg,15.6,289
Acer,Aspire ES1-531,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,Linux,4GB,2.4kg,15.6,289
HP,250 G6,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,128GB SSD,Intel HD Graphics 400,No OS,4GB,1.86kg,15.6,299
HP,250 G6,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,1000GB HDD,Intel HD Graphics 400,No OS,4GB,1.86kg,15.6,288.9
HP,250 G6,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,No OS,4GB,1.86kg,15.6,259
HP,Stream 14-AX001nv,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.44kg,14,279
Lenovo,IdeaPad 100S-14IBR,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.42kg,14,249
HP,Stream 14-AX000nv,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Windows 10,2GB,1.44kg,14,249
HP,Stream 14-AX040wm,Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,32GB SSD,Intel HD Graphics 400,Windows 10,4GB,1.44kg,14,229
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,1366x768,Celeron Dual Core 3060 1.6GHz,500GB HDD,Intel HD Graphics 400,Windows 10,4GB,2.1kg,15.6,347
Acer,Chromebook 11,Netbook,IPS Panel / 1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.35kg,11.6,355
Acer,Chromebook C731-C78G,Netbook,IPS Panel / 1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.25kg,11.6,297
Acer,Chromebook C738T-C2EJ,2 in 1 Convertible,IPS Panel Touchscreen 1366x768,Celeron Dual Core 3060 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.25kg,11.6,389
Asus,VivoBook E12,Netbook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,2GB,1.1kg,11.6,245
Asus,VivoBook E201NA,Netbook,1366x768,Celeron Dual Core 3350 1.1GHz,64GB Flash Storage,Intel HD Graphics 500,Windows 10 S,4GB,1.2kg,11.6,340
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Linux,4GB,2kg,15.6,274.99
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,500GB HDD,Intel HD Graphics 500,Linux,4GB,2kg,15.6,224
Lenovo,V110-15IAP (N3350/4GB/128GB/No,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,128GB SSD,Intel HD Graphics 500,No OS,4GB,1.9kg,15.6,270.62
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,No OS,4GB,1.9kg,15.6,252.36
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,No OS,4GB,2.2kg,15.6,321.99
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,128GB SSD,Intel HD Graphics 500,Windows 10,4GB,1.86kg,15.6,419
Acer,Aspire A315-31,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Windows 10,4GB,2.1kg,15.6,348
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Windows 10,4GB,2.2kg,15.6,306
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Windows 10,8GB,2kg,15.6,399
Asus,X541NA-GO020T (N3350/4GB/1TB/W10),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Windows 10,4GB,2kg,15.6,339
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.44kg,14,292
Asus,VivoBook E403NA,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.5kg,14,286
Lenovo,Lenovo IdeaPad,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,2GB,1.15kg,11.6,304.45
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.63kg,14,299
Asus,VivoBook L402NA,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.65kg,14.1,348
Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.5kg,14,278
Lenovo,IdeaPad 320-14IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,500GB HDD,Intel HD Graphics 500,Windows 10,4GB,2.1kg,14,299
Lenovo,Ideapad 320-15IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,500GB HDD,Intel HD Graphics 500,Windows 10,4GB,2.2kg,15.6,419
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Celeron Dual Core 3350 1.1GHz,64GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.44kg,14,249
Vero,K146 (N3350/4GB/32GB/W10),Notebook,1920x1080,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.22kg,14,202.9
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,Full HD / 1920x1080,Celeron Dual Core 3350 1.1GHz,1000GB HDD,Intel HD Graphics 500,Windows 10,4GB,2kg,15.6,344
Asus,VivoBook E403NA,Notebook,Full HD / 1920x1080,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.5kg,14,298
Mediacom,FlexBook Edge,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Celeron Dual Core 3350 1.1GHz,32GB SSD,Intel HD Graphics 500,Windows 10,4GB,1.16kg,11.6,299
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,IPS Panel Full HD / 1920x1080,Celeron Dual Core 3350 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.3kg,14,260
Acer,Spin SP111-31,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Celeron Dual Core 3350 2.0GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.25kg,11.6,349
Acer,Aspire 3,Notebook,1366x768,Celeron Dual Core 3350 2GHz,1000GB HDD,Intel HD Graphics 500,Linux,4GB,2.1kg,15.6,272
Acer,Aspire 3,Notebook,1366x768,Celeron Dual Core 3350 2GHz,500GB HDD,Intel HD Graphics 500,Windows 10,4GB,2.1kg,15.6,333
Lenovo,N42-20 Chromebook,Notebook,1366x768,Celeron Quad Core 3160 1.6GHz,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.5kg,14,325
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,IPS Panel Touchscreen 1366x768,Celeron Quad Core 3160 1.6GHz,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,4GB,1.25kg,11.6,379
Acer,Aspire 1,Notebook,Full HD / 1920x1080,Celeron Quad Core 3450 1.1GHz,32GB Flash Storage,Intel HD Graphics 500,Windows 10,4GB,1.6kg,14,329
Lenovo,Yoga 11e,Netbook,IPS Panel / 1366x768,Celeron Quad Core 3450 1.1GHz,128GB SSD,Intel HD Graphics 500,Windows 10,4GB,1.59kg,11.6,553
Mediacom,SmartBook Edge,Notebook,IPS Panel Full HD / 1920x1080,Celeron Quad Core 3450 1.1GHz,32GB SSD,Intel HD Graphics 500,Windows 10,4GB,1.2kg,13.3,369
Mediacom,SmartBook Edge,Notebook,IPS Panel Full HD / 1920x1080,Celeron Quad Core 3450 1.1GHz,32GB SSD,Intel HD Graphics 500,Windows 10,4GB,1.45kg,14,389
Chuwi,LapBook 12.3,Notebook,IPS Panel Retina Display / 2736x1824,Celeron Quad Core 3450 1.1GHz,64GB Flash Storage,Intel HD Graphics 500,Windows 10,6GB,1.4kg,12.3,449
Lenovo,IdeaPad 110-15IBR,Notebook,1366x768,Celeron Quad Core 3710 1.6GHz,1000GB HDD,Intel HD Graphics 405,No OS,8GB,2.2kg,15.6,329
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,AMD Radeon R5 420,Linux,4GB,2.18kg,15.6,455.7
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,AMD Radeon R5 420,Windows 10,4GB,2.18kg,15.6,614
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,AMD Radeon R5 430,Linux,4GB,2.25kg,15.6,465.62
Dell,Inspiron 3567,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2.0GHz,1000GB HDD,AMD Radeon R5 430,Linux,4GB,2.25kg,15.6,428
Dell,Inspiron 5567,Notebook,1366x768,Intel Core i3 6006 2.0GHz,128GB SSD,AMD Radeon R7 440,Windows 10,4GB,2.3kg,15.6,499
Dell,Insprion 5767,Notebook,1600x900,Intel Core i3 6006 2.0GHz,1000GB HDD,AMD Radeon R7 445,Windows 10,4GB,2.36kg,17.3,659
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,Linux,4GB,2.18kg,15.6,443.9
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,Linux,4GB,2.25kg,15.6,359
Acer,Aspire ES1-572,Notebook,1366x768,Intel Core i3 6006 2.0GHz,500GB HDD,Intel HD Graphics 520,Linux,4GB,2.4kg,15.6,361.8
Lenovo,V110-15ISK (i3-6006U/4GB/1TB/No,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,No OS,4GB,1.9kg,15.6,339
Lenovo,ThinkPad E570,Notebook,1366x768,Intel Core i3 6006 2.0GHz,128GB SSD,Intel HD Graphics 520,Windows 10,4GB,2.3kg,15.6,565
Lenovo,V110-15ISK (i3-6006U/4GB/128GB/W10),Notebook,1366x768,Intel Core i3 6006 2.0GHz,128GB SSD,Intel HD Graphics 520,Windows 10,4GB,2.1kg,15.6,429
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.18kg,15.6,558.6
Lenovo,IdeaPad 310-15ISK,Notebook,1366x768,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,8GB,2.2kg,15.6,459
Lenovo,IdeaPad 110-15ISK,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2.0GHz,1000GB HDD,Intel HD Graphics 520,No OS,4GB,2.2kg,15.6,469
Acer,Aspire E5-774G,Notebook,1600x900,Intel Core i3 6006 2.0GHz,1000GB HDD,Nvidia GeForce MX 940,Windows 10,8GB,3.3kg,17.3,629
Toshiba,Satellite Pro,Notebook,1366x768,Intel Core i3 6006 2.2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.1kg,15.6,447
HP,250 G6,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,AMD Radeon 520,Windows 10,4GB,1.86kg,15.6,438.69
HP,15-bs005nv (i3-6006U/4GB/1TB,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon 520,Windows 10,4GB,2.1kg,15.6,499
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon 520,Windows 10,4GB,2.1kg,15.6,469
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 420,Linux,4GB,2.18kg,15.6,465
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 420,Windows 10,4GB,2.18kg,15.6,617.9
Dell,Vostro 5568,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,256GB SSD,AMD Radeon R5 420,Windows 10,8GB,2kg,15.6,739
Lenovo,V110-15ISK (i3-6006U/4GB/1TB/Radeon,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 430,No OS,4GB,1.9kg,15.6,368
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 430,Windows 10,4GB,2.2kg,15.6,545.67
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,1920x1080,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 430,Windows 10,6GB,2.04kg,15.6,539
Dell,Inspiron 3567,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,256GB SSD,AMD Radeon R5 430,Linux,4GB,2.2kg,15.6,485
Lenovo,IdeaPad 110-15ISK,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 430,No OS,4GB,2.2kg,15.6,479
Dell,Inspiron 3567,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,1000GB HDD,AMD Radeon R5 430,Windows 10,4GB,2.2kg,15.6,449
Dell,Inspiron 3567,Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,256GB SSD,AMD Radeon R5 430,Windows 10,4GB,2.2kg,15.6,498.9
HP,17-bs000nv I3,Notebook,IPS Panel Full HD / 1920x1080,Intel Core i3 6006 2GHz,256GB SSD,AMD Radeon R5 520,Windows 10,4GB,2.5kg,17.3,699
Acer,Aspire 3,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,Linux,4GB,2.1kg,15.6,412
Acer,Aspire A315-51,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Linux,4GB,2.1kg,15.6,390
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,No OS,4GB,2.2kg,15.6,369
HP,250 G6,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,No OS,4GB,1.86kg,15.6,345.99
HP,250 G6,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,No OS,4GB,1.86kg,15.6,364.9
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,No OS,4GB,1.90kg,15.6,450
Acer,Aspire A315-51,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,Windows 10,4GB,2.1kg,15.6,449
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,Windows 10,8GB,2.2kg,15.6,589
Dell,Latitude 3380,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,Windows 10,4GB,1.65kg,13.3,689
HP,ProBook 440,Notebook,1366x768,Intel Core i3 6006 2GHz,128GB SSD,Intel HD Graphics 520,Windows 10,4GB,1.63kg,15.6,689
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.3kg,15.6,418.64
Acer,Aspire E5-475,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,8GB,2.1kg,14,389
Acer,Aspire A315-51,Notebook,1366x768,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.1kg,15.6,447
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2GHz,256GB SSD,Intel HD Graphics 520,Windows 10,8GB,2kg,15.6,665
HP,250 G6,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,1.86kg,15.6,439
Acer,Extensa EX2540,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.4kg,15.6,450
Acer,Aspire ES1-572,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.4kg,15.6,410.8
Dell,Latitude 3380,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,1.65kg,13.3,849
Lenovo,V110-15ISK (i3-6006U/4GB/500GB/W10),Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.1kg,15.6,489.9
Dell,Latitude 3480,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,1.76kg,14,585
Dell,Vostro 3568,Notebook,1366x768,Intel Core i3 6006 2GHz,500GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.29kg,15.6,490
Lenovo,IdeaPad 320-17ISK,Notebook,1600x900,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,4GB,2.8kg,17.3,489
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,1600x900,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,8GB,2.54kg,17.3,489
HP,17-X047na (i3-6006U/8GB/1TB/W10),Notebook,1600x900,Intel Core i3 6006 2GHz,1000GB HDD,Intel HD Graphics 520,Windows 10,8GB,2.65kg,17.3,544.15
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,1600x900,Intel Core i3 6006 2GHz,256GB SSD,Intel HD Graphics 520,Windows 10,8GB,2.5kg,17.3,639.9
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,Full HD / 1920x1080,Intel Core i3 6006 2GHz,256GB SSD,Intel HD Graphics 520,Linux,4GB,2kg,15.6,415
